,Location,median_income,gini_index
81,"Nome Census Area, Alaska: Summary level: 050, state:02> county:180",52347,0.4372
82,"Dillingham Census Area, Alaska: Summary level: 050, state:02> county:070",61198,0.4284
83,"Haines Borough, Alaska: Summary level: 050, state:02> county:100",75000,0.415
84,"Juneau City and Borough, Alaska: Summary level: 050, state:02> county:110",110923,0.3815
85,"Lake and Peninsula Borough, Alaska: Summary level: 050, state:02> county:164",47750,0.4388
86,"Southeast Fairbanks Census Area, Alaska: Summary level: 050, state:02> county:240",77841,0.3918
87,"Yukon-Koyukuk Census Area, Alaska: Summary level: 050, state:02> county:290",48382,0.4684
88,"Anchorage Municipality, Alaska: Summary level: 050, state:02> county:020",94913,0.4192
89,"Aleutians East Borough, Alaska: Summary level: 050, state:02> county:013",73173,0.4025
90,"Prince of Wales-Hyder Census Area, Alaska: Summary level: 050, state:02> county:198",63688,0.4232
91,"Wrangell City and Borough, Alaska: Summary level: 050, state:02> county:275",67202,0.3945
92,"Hoonah-Angoon Census Area, Alaska: Summary level: 050, state:02> county:105",70139,0.3871
93,"Skagway Municipality, Alaska: Summary level: 050, state:02> county:230",78750,0.3271
94,"Petersburg Borough, Alaska: Summary level: 050, state:02> county:195",75250,0.4524
95,"Kusilvak Census Area, Alaska: Summary level: 050, state:02> county:158",36230,0.4268
96,"Pima County, Arizona: Summary level: 050, state:04> county:019",60790,0.4725
97,"Maricopa County, Arizona: Summary level: 050, state:04> county:013",69647,0.4679
98,"Gila County, Arizona: Summary level: 050, state:04> county:007",48806,0.4442
99,"Graham County, Arizona: Summary level: 050, state:04> county:009",58732,0.4149
100,"Santa Cruz County, Arizona: Summary level: 050, state:04> county:023",44076,0.487
101,"Cochise County, Arizona: Summary level: 050, state:04> county:003",57593,0.4449
102,"La Paz County, Arizona: Summary level: 050, state:04> county:012",44536,0.4323
103,"Mohave County, Arizona: Summary level: 050, state:04> county:015",50148,0.4451
104,"Apache County, Arizona: Summary level: 050, state:04> county:001",40231,0.4883
105,"Coconino County, Arizona: Summary level: 050, state:04> county:005",67964,0.4803
106,"Yavapai County, Arizona: Summary level: 050, state:04> county:025",58446,0.4447
107,"Yuma County, Arizona: Summary level: 050, state:04> county:027",47370,0.4443
108,"Greenlee County, Arizona: Summary level: 050, state:04> county:011",60857,0.4008
109,"Navajo County, Arizona: Summary level: 050, state:04> county:017",46034,0.4773
110,"Pinal County, Arizona: Summary level: 050, state:04> county:021",60281,0.4287
111,"White County, Arkansas: Summary level: 050, state:05> county:145",55203,0.4668
112,"Nevada County, Arkansas: Summary level: 050, state:05> county:099",47514,0.4077
113,"St. Francis County, Arkansas: Summary level: 050, state:05> county:123",40669,0.4649
114,"Pulaski County, Arkansas: Summary level: 050, state:05> county:119",63863,0.4986
115,"Clay County, Arkansas: Summary level: 050, state:05> county:021",43235,0.4468
116,"Cross County, Arkansas: Summary level: 050, state:05> county:037",51027,0.4725
117,"Dallas County, Arkansas: Summary level: 050, state:05> county:039",45817,0.3893
118,"Drew County, Arkansas: Summary level: 050, state:05> county:043",50711,0.4886
119,"Columbia County, Arkansas: Summary level: 050, state:05> county:027",49198,0.4725
120,"Randolph County, Arkansas: Summary level: 050, state:05> county:121",45575,0.4698
121,"Saline County, Arkansas: Summary level: 050, state:05> county:125",71046,0.3959
122,"Van Buren County, Arkansas: Summary level: 050, state:05> county:141",43648,0.4465
123,"Boone County, Arkansas: Summary level: 050, state:05> county:009",46987,0.4367
124,"Izard County, Arkansas: Summary level: 050, state:05> county:065",49000,0.4082
125,"Independence County, Arkansas: Summary level: 050, state:05> county:063",51585,0.4691
126,"Lincoln County, Arkansas: Summary level: 050, state:05> county:079",47174,0.4404
127,"Logan County, Arkansas: Summary level: 050, state:05> county:083",46076,0.4443
128,"Grant County, Arkansas: Summary level: 050, state:05> county:053",60969,0.4633
129,"Crittenden County, Arkansas: Summary level: 050, state:05> county:035",50384,0.4501
130,"Franklin County, Arkansas: Summary level: 050, state:05> county:047",46227,0.4274
131,"Faulkner County, Arkansas: Summary level: 050, state:05> county:045",65781,0.4552
132,"Pike County, Arkansas: Summary level: 050, state:05> county:109",48816,0.4251
133,"Jefferson County, Arkansas: Summary level: 050, state:05> county:069",48817,0.4664
134,"Marion County, Arkansas: Summary level: 050, state:05> county:089",43654,0.4189
135,"Montgomery County, Arkansas: Summary level: 050, state:05> county:097",46037,0.4362
136,"Scott County, Arkansas: Summary level: 050, state:05> county:127",42790,0.4408
137,"Searcy County, Arkansas: Summary level: 050, state:05> county:129",44179,0.4626
138,"Sebastian County, Arkansas: Summary level: 050, state:05> county:131",51888,0.4865
139,"Crawford County, Arkansas: Summary level: 050, state:05> county:033",51778,0.4335
140,"Benton County, Arkansas: Summary level: 050, state:05> county:007",71185,0.4505
141,"Chicot County, Arkansas: Summary level: 050, state:05> county:017",39059,0.5589
142,"Hot Spring County, Arkansas: Summary level: 050, state:05> county:059",52086,0.4474
143,"Johnson County, Arkansas: Summary level: 050, state:05> county:071",42948,0.4478
144,"Lee County, Arkansas: Summary level: 050, state:05> county:077",39489,0.5057
145,"Madison County, Arkansas: Summary level: 050, state:05> county:087",51609,0.4626
146,"Desha County, Arkansas: Summary level: 050, state:05> county:041",38156,0.4871
147,"Fulton County, Arkansas: Summary level: 050, state:05> county:049",42646,0.4285
148,"Howard County, Arkansas: Summary level: 050, state:05> county:061",44650,0.5268
149,"Garland County, Arkansas: Summary level: 050, state:05> county:051",54550,0.4887
150,"Mississippi County, Arkansas: Summary level: 050, state:05> county:093",42085,0.4755
151,"Pope County, Arkansas: Summary level: 050, state:05> county:115",50919,0.465
152,"Prairie County, Arkansas: Summary level: 050, state:05> county:117",48041,0.4182
153,"Union County, Arkansas: Summary level: 050, state:05> county:139",51911,0.4794
154,"Woodruff County, Arkansas: Summary level: 050, state:05> county:147",46515,0.4976
155,"Cleburne County, Arkansas: Summary level: 050, state:05> county:023",56236,0.4688
156,"Cleveland County, Arkansas: Summary level: 050, state:05> county:025",53049,0.4299
157,"Jackson County, Arkansas: Summary level: 050, state:05> county:067",42281,0.5104
158,"Hempstead County, Arkansas: Summary level: 050, state:05> county:057",48213,0.4379
159,"Sharp County, Arkansas: Summary level: 050, state:05> county:135",40675,0.4928
160,"Stone County, Arkansas: Summary level: 050, state:05> county:137",41709,0.4797
161,"Washington County, Arkansas: Summary level: 050, state:05> county:143",60926,0.4909
162,"Greene County, Arkansas: Summary level: 050, state:05> county:055",55302,0.4147
163,"Baxter County, Arkansas: Summary level: 050, state:05> county:005",48433,0.445
164,"Ashley County, Arkansas: Summary level: 050, state:05> county:003",47801,0.4658
165,"Craighead County, Arkansas: Summary level: 050, state:05> county:031",54830,0.4824
166,"Lafayette County, Arkansas: Summary level: 050, state:05> county:073",43571,0.5823
167,"Perry County, Arkansas: Summary level: 050, state:05> county:105",55000,0.4047
168,"Yell County, Arkansas: Summary level: 050, state:05> county:149",45833,0.44
169,"Phillips County, Arkansas: Summary level: 050, state:05> county:107",34965,0.4972
170,"Poinsett County, Arkansas: Summary level: 050, state:05> county:111",43919,0.4022
171,"Sevier County, Arkansas: Summary level: 050, state:05> county:133",52770,0.4036
172,"Calhoun County, Arkansas: Summary level: 050, state:05> county:013",47473,0.4405
173,"Clark County, Arkansas: Summary level: 050, state:05> county:019",54289,0.451
174,"Bradley County, Arkansas: Summary level: 050, state:05> county:011",46914,0.4812
175,"Lawrence County, Arkansas: Summary level: 050, state:05> county:075",48426,0.4266
176,"Monroe County, Arkansas: Summary level: 050, state:05> county:095",44652,0.4757
177,"Polk County, Arkansas: Summary level: 050, state:05> county:113",40099,0.4395
178,"Conway County, Arkansas: Summary level: 050, state:05> county:029",51424,0.4629
179,"Ouachita County, Arkansas: Summary level: 050, state:05> county:103",42796,0.4782
180,"Newton County, Arkansas: Summary level: 050, state:05> county:101",47226,0.412
181,"Arkansas County, Arkansas: Summary level: 050, state:05> county:001",48735,0.4877
182,"Little River County, Arkansas: Summary level: 050, state:05> county:081",51363,0.4746
183,"Lonoke County, Arkansas: Summary level: 050, state:05> county:085",64690,0.3938
184,"Carroll County, Arkansas: Summary level: 050, state:05> county:015",51474,0.4371
185,"Miller County, Arkansas: Summary level: 050, state:05> county:091",52087,0.4507
186,"Modoc County, California: Summary level: 050, state:06> county:049",51000,0.4354
187,"Merced County, California: Summary level: 050, state:06> county:047",49971,0.4653
188,"Lake County, California: Summary level: 050, state:06> county:033",52182,0.4691
189,"Mariposa County, California: Summary level: 050, state:06> county:043",62966,0.4492
190,"Yuba County, California: Summary level: 050, state:06> county:115",57391,0.4269
191,"Contra Costa County, California: Summary level: 050, state:06> county:013",103598,0.47
192,"Inyo County, California: Summary level: 050, state:06> county:027",70767,0.4117
193,"Lassen County, California: Summary level: 050, state:06> county:035",66290,0.4312
194,"Stanislaus County, California: Summary level: 050, state:06> county:099",60757,0.4493
195,"Santa Barbara County, California: Summary level: 050, state:06> county:083",78481,0.4826
196,"Sonoma County, California: Summary level: 050, state:06> county:097",86604,0.4584
197,"Tehama County, California: Summary level: 050, state:06> county:103",52583,0.4513
198,"Imperial County, California: Summary level: 050, state:06> county:025",51447,0.4719
199,"Mono County, California: Summary level: 050, state:06> county:051",76196,0.3525
200,"San Benito County, California: Summary level: 050, state:06> county:069",84489,0.4007
201,"Alameda County, California: Summary level: 050, state:06> county:001",103600,0.4649
202,"Sacramento County, California: Summary level: 050, state:06> county:067",70821,0.4605
203,"El Dorado County, California: Summary level: 050, state:06> county:017",93154,0.4588
204,"Napa County, California: Summary level: 050, state:06> county:055",93082,0.4734
205,"San Diego County, California: Summary level: 050, state:06> county:073",81823,0.4666
206,"Monterey County, California: Summary level: 050, state:06> county:053",69222,0.4595
207,"San Francisco County, California: Summary level: 050, state:06> county:075",114049,0.5148
208,"Sierra County, California: Summary level: 050, state:06> county:091",86205,0.4824
209,"Tulare County, California: Summary level: 050, state:06> county:107",47280,0.4682
210,"Yolo County, California: Summary level: 050, state:06> county:113",81149,0.4905
211,"Humboldt County, California: Summary level: 050, state:06> county:023",56696,0.4682
212,"Nevada County, California: Summary level: 050, state:06> county:057",75931,0.4639
213,"Alpine County, California: Summary level: 050, state:06> county:003",72857,0.4981
214,"Madera County, California: Summary level: 050, state:06> county:039",53712,0.4503
215,"Mendocino County, California: Summary level: 050, state:06> county:045",59127,0.4942
216,"Santa Cruz County, California: Summary level: 050, state:06> county:087",90531,0.4784
217,"Trinity County, California: Summary level: 050, state:06> county:105",48596,0.4665
218,"Los Angeles County, California: Summary level: 050, state:06> county:037",68272,0.5029
219,"Riverside County, California: Summary level: 050, state:06> county:065",68846,0.4515
220,"San Bernardino County, California: Summary level: 050, state:06> county:071",63170,0.4426
221,"Santa Clara County, California: Summary level: 050, state:06> county:085",122700,0.4639
222,"Marin County, California: Summary level: 050, state:06> county:041",136857,0.5234
223,"Placer County, California: Summary level: 050, state:06> county:061",98552,0.4472
224,"Siskiyou County, California: Summary level: 050, state:06> county:093",51227,0.4506
225,"Shasta County, California: Summary level: 050, state:06> county:089",59787,0.4634
226,"Solano County, California: Summary level: 050, state:06> county:095",83654,0.4267
227,"Del Norte County, California: Summary level: 050, state:06> county:015",54061,0.481
228,"Colusa County, California: Summary level: 050, state:06> county:011",62493,0.4601
229,"Glenn County, California: Summary level: 050, state:06> county:021",53364,0.4637
230,"Butte County, California: Summary level: 050, state:06> county:007",61054,0.4868
231,"Kings County, California: Summary level: 050, state:06> county:031",52533,0.4391
232,"Plumas County, California: Summary level: 050, state:06> county:063",67950,0.4686
233,"San Luis Obispo County, California: Summary level: 050, state:06> county:079",83084,0.4518
234,"Fresno County, California: Summary level: 050, state:06> county:019",53907,0.4801
235,"Kern County, California: Summary level: 050, state:06> county:029",55176,0.462
236,"Orange County, California: Summary level: 050, state:06> county:059",92236,0.4701
237,"Ventura County, California: Summary level: 050, state:06> county:111",91732,0.4478
238,"Calaveras County, California: Summary level: 050, state:06> county:009",75710,0.4608
239,"Sutter County, California: Summary level: 050, state:06> county:101",61590,0.4488
240,"San Mateo County, California: Summary level: 050, state:06> county:081",124485,0.484
241,"Tuolumne County, California: Summary level: 050, state:06> county:109",67423,0.4755
242,"San Joaquin County, California: Summary level: 050, state:06> county:077",65375,0.455
243,"Amador County, California: Summary level: 050, state:06> county:005",74151,0.4392
244,"Costilla County, Colorado: Summary level: 050, state:08> county:023",34688,0.5199
245,"Adams County, Colorado: Summary level: 050, state:08> county:001",72332,0.4058
246,"Conejos County, Colorado: Summary level: 050, state:08> county:021",50144,0.4386
247,"Custer County, Colorado: Summary level: 050, state:08> county:027",54306,0.4331
248,"Douglas County, Colorado: Summary level: 050, state:08> county:035",124371,0.3986
249,"Eagle County, Colorado: Summary level: 050, state:08> county:037",94050,0.4329
250,"Lake County, Colorado: Summary level: 050, state:08> county:065",62888,0.4092
251,"La Plata County, Colorado: Summary level: 050, state:08> county:067",78735,0.4364
252,"Moffat County, Colorado: Summary level: 050, state:08> county:081",68492,0.424
253,"Pitkin County, Colorado: Summary level: 050, state:08> county:097",104021,0.5759
254,"Rio Grande County, Colorado: Summary level: 050, state:08> county:105",52550,0.4641
255,"Cheyenne County, Colorado: Summary level: 050, state:08> county:017",68523,0.4023
256,"Bent County, Colorado: Summary level: 050, state:08> county:011",40893,0.47
257,"Crowley County, Colorado: Summary level: 050, state:08> county:025",49773,0.4201
258,"Dolores County, Colorado: Summary level: 050, state:08> county:033",48359,0.4477
259,"San Juan County, Colorado: Summary level: 050, state:08> county:111",59250,0.4031
260,"Jackson County, Colorado: Summary level: 050, state:08> county:057",52000,0.3843
261,"Larimer County, Colorado: Summary level: 050, state:08> county:069",84443,0.4503
262,"Logan County, Colorado: Summary level: 050, state:08> county:075",57275,0.4513
263,"Montezuma County, Colorado: Summary level: 050, state:08> county:083",55716,0.4208
264,"San Miguel County, Colorado: Summary level: 050, state:08> county:113",76766,0.5286
265,"Teller County, Colorado: Summary level: 050, state:08> county:119",77059,0.4081
266,"Yuma County, Colorado: Summary level: 050, state:08> county:125",50945,0.444
267,"Boulder County, Colorado: Summary level: 050, state:08> county:013",103677,0.4792
268,"Elbert County, Colorado: Summary level: 050, state:08> county:039",106319,0.409
269,"Las Animas County, Colorado: Summary level: 050, state:08> county:071",52923,0.454
270,"Lincoln County, Colorado: Summary level: 050, state:08> county:073",60238,0.4427
271,"Clear Creek County, Colorado: Summary level: 050, state:08> county:019",87684,0.4399
272,"Routt County, Colorado: Summary level: 050, state:08> county:107",82122,0.4684
273,"Summit County, Colorado: Summary level: 050, state:08> county:117",90271,0.4333
274,"Alamosa County, Colorado: Summary level: 050, state:08> county:003",46274,0.4846
275,"Delta County, Colorado: Summary level: 050, state:08> county:029",54679,0.4863
276,"Fremont County, Colorado: Summary level: 050, state:08> county:043",56007,0.4401
277,"Pueblo County, Colorado: Summary level: 050, state:08> county:101",54097,0.4535
278,"Montrose County, Colorado: Summary level: 050, state:08> county:085",57310,0.4186
279,"Morgan County, Colorado: Summary level: 050, state:08> county:087",57443,0.3996
280,"Park County, Colorado: Summary level: 050, state:08> county:093",71529,0.4056
281,"Saguache County, Colorado: Summary level: 050, state:08> county:109",45379,0.4997
282,"Mesa County, Colorado: Summary level: 050, state:08> county:077",64409,0.4473
283,"Prowers County, Colorado: Summary level: 050, state:08> county:099",50313,0.4332
284,"Hinsdale County, Colorado: Summary level: 050, state:08> county:053",59886,0.429
285,"El Paso County, Colorado: Summary level: 050, state:08> county:041",75646,0.434
286,"Washington County, Colorado: Summary level: 050, state:08> county:121",60464,0.4123
287,"Grand County, Colorado: Summary level: 050, state:08> county:049",74158,0.402
288,"Arapahoe County, Colorado: Summary level: 050, state:08> county:005",84049,0.4595
289,"Otero County, Colorado: Summary level: 050, state:08> county:089",45578,0.4709
290,"Phillips County, Colorado: Summary level: 050, state:08> county:095",64221,0.4565
291,"Archuleta County, Colorado: Summary level: 050, state:08> county:007",54980,0.4401
292,"Denver County, Colorado: Summary level: 050, state:08> county:031",77365,0.5001
293,"Kiowa County, Colorado: Summary level: 050, state:08> county:061",50417,0.4279
294,"Huerfano County, Colorado: Summary level: 050, state:08> county:055",49554,0.46
295,"Baca County, Colorado: Summary level: 050, state:08> county:009",45976,0.4441
296,"Chaffee County, Colorado: Summary level: 050, state:08> county:015",67141,0.4259
297,"Gilpin County, Colorado: Summary level: 050, state:08> county:047",87417,0.4523
298,"Kit Carson County, Colorado: Summary level: 050, state:08> county:063",56845,0.4867
299,"Garfield County, Colorado: Summary level: 050, state:08> county:045",79587,0.4135
300,"Gunnison County, Colorado: Summary level: 050, state:08> county:051",70978,0.415
301,"Jefferson County, Colorado: Summary level: 050, state:08> county:059",93937,0.4352
302,"Mineral County, Colorado: Summary level: 050, state:08> county:079",61667,0.3927
303,"Ouray County, Colorado: Summary level: 050, state:08> county:091",71808,0.4382
304,"Rio Blanco County, Colorado: Summary level: 050, state:08> county:103",78523,0.4236
305,"Sedgwick County, Colorado: Summary level: 050, state:08> county:115",60069,0.4379
306,"Weld County, Colorado: Summary level: 050, state:08> county:123",77042,0.421
307,"New Haven County, Connecticut: Summary level: 050, state:09> county:009",85674,0.467
308,"Litchfield County, Connecticut: Summary level: 050, state:09> county:005",94908,0.4412
309,"Hartford County, Connecticut: Summary level: 050, state:09> county:003",89300,0.47
310,"Windham County, Connecticut: Summary level: 050, state:09> county:015",77969,0.4143
311,"New London County, Connecticut: Summary level: 050, state:09> county:011",85198,0.4425
312,"Middlesex County, Connecticut: Summary level: 050, state:09> county:007",104985,0.4442
313,"Tolland County, Connecticut: Summary level: 050, state:09> county:013",103241,0.4276
314,"Fairfield County, Connecticut: Summary level: 050, state:09> county:001",109946,0.5443
