Location,median_income
"Lawrence County, Indiana: Summary level: 050, state:18> county:093",59119
"Madison County, Indiana: Summary level: 050, state:18> county:095",56814
"Perry County, Indiana: Summary level: 050, state:18> county:123",60855
"Pike County, Indiana: Summary level: 050, state:18> county:125",61918
"Pulaski County, Indiana: Summary level: 050, state:18> county:131",55942
"Posey County, Indiana: Summary level: 050, state:18> county:129",72642
"Steuben County, Indiana: Summary level: 050, state:18> county:151",62524
"Warren County, Indiana: Summary level: 050, state:18> county:171",65441
"Vermillion County, Indiana: Summary level: 050, state:18> county:165",55649
"Wells County, Indiana: Summary level: 050, state:18> county:179",67590
"Floyd County, Indiana: Summary level: 050, state:18> county:043",75238
"Allen County, Indiana: Summary level: 050, state:18> county:003",63679
"Decatur County, Indiana: Summary level: 050, state:18> county:031",60637
"Delaware County, Indiana: Summary level: 050, state:18> county:035",56460
"Miami County, Indiana: Summary level: 050, state:18> county:103",57790
"Jefferson County, Indiana: Summary level: 050, state:18> county:077",60368
"Jennings County, Indiana: Summary level: 050, state:18> county:079",57721
"Johnson County, Indiana: Summary level: 050, state:18> county:081",77719
"Morgan County, Indiana: Summary level: 050, state:18> county:109",68016
"Gibson County, Indiana: Summary level: 050, state:18> county:051",64333
"Newton County, Indiana: Summary level: 050, state:18> county:111",57958
"Orange County, Indiana: Summary level: 050, state:18> county:117",53750
"St. Joseph County, Indiana: Summary level: 050, state:18> county:141",62331
"Kosciusko County, Indiana: Summary level: 050, state:18> county:085",64973
"Marshall County, Indiana: Summary level: 050, state:18> county:099",62066
"Switzerland County, Indiana: Summary level: 050, state:18> county:155",50596
"Vanderburgh County, Indiana: Summary level: 050, state:18> county:163",61785
"Blackford County, Indiana: Summary level: 050, state:18> county:009",51837
"Carroll County, Indiana: Summary level: 050, state:18> county:015",63440
"Scott County, Indiana: Summary level: 050, state:18> county:143",57996
"Harrison County, Indiana: Summary level: 050, state:18> county:061",64589
"Huntington County, Indiana: Summary level: 050, state:18> county:069",61019
"LaPorte County, Indiana: Summary level: 050, state:18> county:091",61533
"Wabash County, Indiana: Summary level: 050, state:18> county:169",58589
"White County, Indiana: Summary level: 050, state:18> county:181",62303
"Jasper County, Indiana: Summary level: 050, state:18> county:073",65000
"Jay County, Indiana: Summary level: 050, state:18> county:075",55376
"Martin County, Indiana: Summary level: 050, state:18> county:101",59443
"Porter County, Indiana: Summary level: 050, state:18> county:127",80262
"Shelby County, Indiana: Summary level: 050, state:18> county:145",69243
"Ripley County, Indiana: Summary level: 050, state:18> county:137",62670
"Spencer County, Indiana: Summary level: 050, state:18> county:147",69184
"Sullivan County, Indiana: Summary level: 050, state:18> county:153",57337
"Tipton County, Indiana: Summary level: 050, state:18> county:159",66747
"Tippecanoe County, Indiana: Summary level: 050, state:18> county:157",68709
"Vigo County, Indiana: Summary level: 050, state:18> county:167",54425
"Warrick County, Indiana: Summary level: 050, state:18> county:173",80874
"Hamilton County, Indiana: Summary level: 050, state:18> county:057",108099
"DeKalb County, Indiana: Summary level: 050, state:18> county:033",62675
"LaGrange County, Indiana: Summary level: 050, state:18> county:087",63750
"Bartholomew County, Indiana: Summary level: 050, state:18> county:005",70196
"Rush County, Indiana: Summary level: 050, state:18> county:139",58912
"Boone County, Indiana: Summary level: 050, state:18> county:011",92207
"Fulton County, Indiana: Summary level: 050, state:18> county:049",58464
"Lake County, Indiana: Summary level: 050, state:18> county:089",63912
"Montgomery County, Indiana: Summary level: 050, state:18> county:107",63983
"Noble County, Indiana: Summary level: 050, state:18> county:113",63427
"Adams County, Indiana: Summary level: 050, state:18> county:001",61064
"Clark County, Indiana: Summary level: 050, state:18> county:019",66106
"Fayette County, Indiana: Summary level: 050, state:18> county:041",50540
"Delaware County, Iowa: Summary level: 050, state:19> county:055",72423
"Jefferson County, Iowa: Summary level: 050, state:19> county:101",62355
"Wayne County, Iowa: Summary level: 050, state:19> county:185",54784
"Allamakee County, Iowa: Summary level: 050, state:19> county:005",64406
"Linn County, Iowa: Summary level: 050, state:19> county:113",81032
"Scott County, Iowa: Summary level: 050, state:19> county:163",74928
"Dallas County, Iowa: Summary level: 050, state:19> county:049",104897
"O'Brien County, Iowa: Summary level: 050, state:19> county:141",71882
"Benton County, Iowa: Summary level: 050, state:19> county:011",80129
"Butler County, Iowa: Summary level: 050, state:19> county:023",67471
"Dubuque County, Iowa: Summary level: 050, state:19> county:061",74270
"Fremont County, Iowa: Summary level: 050, state:19> county:071",66045
"Hamilton County, Iowa: Summary level: 050, state:19> county:079",69148
"Pocahontas County, Iowa: Summary level: 050, state:19> county:151",63065
"Taylor County, Iowa: Summary level: 050, state:19> county:173",58772
"Union County, Iowa: Summary level: 050, state:19> county:175",62875
"Van Buren County, Iowa: Summary level: 050, state:19> county:177",60828
"Worth County, Iowa: Summary level: 050, state:19> county:195",64104
"Ringgold County, Iowa: Summary level: 050, state:19> county:159",58550
"Adams County, Iowa: Summary level: 050, state:19> county:003",61888
"Adair County, Iowa: Summary level: 050, state:19> county:001",62741
"Audubon County, Iowa: Summary level: 050, state:19> county:009",61838
"Chickasaw County, Iowa: Summary level: 050, state:19> county:037",68913
"Clarke County, Iowa: Summary level: 050, state:19> county:039",62193
"Davis County, Iowa: Summary level: 050, state:19> county:051",66881
"Dickinson County, Iowa: Summary level: 050, state:19> county:059",78574
"Ida County, Iowa: Summary level: 050, state:19> county:093",68929
"Johnson County, Iowa: Summary level: 050, state:19> county:103",89700
"Keokuk County, Iowa: Summary level: 050, state:19> county:107",65188
"Monroe County, Iowa: Summary level: 050, state:19> county:135",63030
"Tama County, Iowa: Summary level: 050, state:19> county:171",67415
"Wapello County, Iowa: Summary level: 050, state:19> county:179",55232
"Sioux County, Iowa: Summary level: 050, state:19> county:167",75911
"Franklin County, Iowa: Summary level: 050, state:19> county:069",57659
"Calhoun County, Iowa: Summary level: 050, state:19> county:025",59308
"Carroll County, Iowa: Summary level: 050, state:19> county:027",73897
"Cedar County, Iowa: Summary level: 050, state:19> county:031",77682
"Cerro Gordo County, Iowa: Summary level: 050, state:19> county:033",67514
"Floyd County, Iowa: Summary level: 050, state:19> county:067",63194
"Greene County, Iowa: Summary level: 050, state:19> county:073",66938
"Hardin County, Iowa: Summary level: 050, state:19> county:083",70079
"Louisa County, Iowa: Summary level: 050, state:19> county:115",67642
"Lucas County, Iowa: Summary level: 050, state:19> county:117",63214
"Lyon County, Iowa: Summary level: 050, state:19> county:119",69909
"Winnebago County, Iowa: Summary level: 050, state:19> county:189",63167
"Palo Alto County, Iowa: Summary level: 050, state:19> county:147",67027
"Shelby County, Iowa: Summary level: 050, state:19> county:165",68300
"Appanoose County, Iowa: Summary level: 050, state:19> county:007",53891
"Henry County, Iowa: Summary level: 050, state:19> county:087",63037
"Iowa County, Iowa: Summary level: 050, state:19> county:095",71921
"Jasper County, Iowa: Summary level: 050, state:19> county:099",68563
"Page County, Iowa: Summary level: 050, state:19> county:145",61089
"Winneshiek County, Iowa: Summary level: 050, state:19> county:191",76023
"Poweshiek County, Iowa: Summary level: 050, state:19> county:157",68750
"Pottawattamie County, Iowa: Summary level: 050, state:19> county:155",70607
"Marshall County, Iowa: Summary level: 050, state:19> county:127",63271
"Clayton County, Iowa: Summary level: 050, state:19> county:043",65481
"Boone County, Iowa: Summary level: 050, state:19> county:015",73125
"Bremer County, Iowa: Summary level: 050, state:19> county:017",82474
"Buena Vista County, Iowa: Summary level: 050, state:19> county:021",64644
"Howard County, Iowa: Summary level: 050, state:19> county:089",62359
"Emmet County, Iowa: Summary level: 050, state:19> county:063",67379
"Guthrie County, Iowa: Summary level: 050, state:19> county:077",70238
"Hancock County, Iowa: Summary level: 050, state:19> county:081",67286
"Humboldt County, Iowa: Summary level: 050, state:19> county:091",63962
"Madison County, Iowa: Summary level: 050, state:19> county:121",69708
"Marion County, Iowa: Summary level: 050, state:19> county:125",71988
"Washington County, Iowa: Summary level: 050, state:19> county:183",73600
"Wright County, Iowa: Summary level: 050, state:19> county:197",60271
"Cass County, Iowa: Summary level: 050, state:19> county:029",58034
"Cherokee County, Iowa: Summary level: 050, state:19> county:035",68921
"Crawford County, Iowa: Summary level: 050, state:19> county:047",59421
"Des Moines County, Iowa: Summary level: 050, state:19> county:057",60973
"Fayette County, Iowa: Summary level: 050, state:19> county:065",60128
"Harrison County, Iowa: Summary level: 050, state:19> county:085",69367
"Kossuth County, Iowa: Summary level: 050, state:19> county:109",69276
"Mills County, Iowa: Summary level: 050, state:19> county:129",85083
"Monona County, Iowa: Summary level: 050, state:19> county:133",60208
"Muscatine County, Iowa: Summary level: 050, state:19> county:139",68822
"Osceola County, Iowa: Summary level: 050, state:19> county:143",64701
"Polk County, Iowa: Summary level: 050, state:19> county:153",78175
"Webster County, Iowa: Summary level: 050, state:19> county:187",59002
"Story County, Iowa: Summary level: 050, state:19> county:169",84479
"Woodbury County, Iowa: Summary level: 050, state:19> county:193",62716
"Black Hawk County, Iowa: Summary level: 050, state:19> county:013",67246
"Grundy County, Iowa: Summary level: 050, state:19> county:075",77023
"Jackson County, Iowa: Summary level: 050, state:19> county:097",62415
"Jones County, Iowa: Summary level: 050, state:19> county:105",71745
"Lee County, Iowa: Summary level: 050, state:19> county:111",60598
"Mitchell County, Iowa: Summary level: 050, state:19> county:131",66541
"Montgomery County, Iowa: Summary level: 050, state:19> county:137",55847
"Warren County, Iowa: Summary level: 050, state:19> county:181",84355
"Sac County, Iowa: Summary level: 050, state:19> county:161",66850
"Mahaska County, Iowa: Summary level: 050, state:19> county:123",61283
"Plymouth County, Iowa: Summary level: 050, state:19> county:149",74514
"Buchanan County, Iowa: Summary level: 050, state:19> county:019",74542
"Clay County, Iowa: Summary level: 050, state:19> county:041",64503
"Clinton County, Iowa: Summary level: 050, state:19> county:045",67494
"Decatur County, Iowa: Summary level: 050, state:19> county:053",50402
"Smith County, Kansas: Summary level: 050, state:20> county:183",57054
"Grant County, Kansas: Summary level: 050, state:20> county:067",68162
"Jackson County, Kansas: Summary level: 050, state:20> county:085",63259
"Kingman County, Kansas: Summary level: 050, state:20> county:095",70000
"Logan County, Kansas: Summary level: 050, state:20> county:109",66480
"Cherokee County, Kansas: Summary level: 050, state:20> county:021",53042
"Nemaha County, Kansas: Summary level: 050, state:20> county:131",72823
"Pottawatomie County, Kansas: Summary level: 050, state:20> county:149",75710
"Wyandotte County, Kansas: Summary level: 050, state:20> county:209",50203
"Butler County, Kansas: Summary level: 050, state:20> county:015",76223
"Clay County, Kansas: Summary level: 050, state:20> county:027",63824
"Lincoln County, Kansas: Summary level: 050, state:20> county:105",63304
"Saline County, Kansas: Summary level: 050, state:20> county:169",66120
"Sumner County, Kansas: Summary level: 050, state:20> county:191",67703
"Trego County, Kansas: Summary level: 050, state:20> county:195",69491
"Wabaunsee County, Kansas: Summary level: 050, state:20> county:197",69794
"Wilson County, Kansas: Summary level: 050, state:20> county:205",55820
"Woodson County, Kansas: Summary level: 050, state:20> county:207",52731
"Mitchell County, Kansas: Summary level: 050, state:20> county:123",62934
"Ness County, Kansas: Summary level: 050, state:20> county:135",58917
"Osborne County, Kansas: Summary level: 050, state:20> county:141",57813
"Atchison County, Kansas: Summary level: 050, state:20> county:005",58275
"Bourbon County, Kansas: Summary level: 050, state:20> county:011",51136
"Finney County, Kansas: Summary level: 050, state:20> county:055",58386
"Hamilton County, Kansas: Summary level: 050, state:20> county:075",55288
"Kiowa County, Kansas: Summary level: 050, state:20> county:097",62679
"Leavenworth County, Kansas: Summary level: 050, state:20> county:103",81137
"Shawnee County, Kansas: Summary level: 050, state:20> county:177",69539
"Sherman County, Kansas: Summary level: 050, state:20> county:181",55952
"Stanton County, Kansas: Summary level: 050, state:20> county:187",51518
"Thomas County, Kansas: Summary level: 050, state:20> county:193",66529
"Meade County, Kansas: Summary level: 050, state:20> county:119",62375
"Montgomery County, Kansas: Summary level: 050, state:20> county:125",53390
"Morris County, Kansas: Summary level: 050, state:20> county:127",63150
"Pratt County, Kansas: Summary level: 050, state:20> county:151",66354
"Rawlins County, Kansas: Summary level: 050, state:20> county:153",63292
"Rooks County, Kansas: Summary level: 050, state:20> county:163",59769
"Anderson County, Kansas: Summary level: 050, state:20> county:003",57500
"Clark County, Kansas: Summary level: 050, state:20> county:025",59837
"Ellsworth County, Kansas: Summary level: 050, state:20> county:053",63693
"Geary County, Kansas: Summary level: 050, state:20> county:061",50503
"Harper County, Kansas: Summary level: 050, state:20> county:077",58040
"Ford County, Kansas: Summary level: 050, state:20> county:057",56709
"Russell County, Kansas: Summary level: 050, state:20> county:167",60556
"Lyon County, Kansas: Summary level: 050, state:20> county:111",57247
"Marshall County, Kansas: Summary level: 050, state:20> county:117",62699
"Pawnee County, Kansas: Summary level: 050, state:20> county:145",56563
"Allen County, Kansas: Summary level: 050, state:20> county:001",57983
"Cheyenne County, Kansas: Summary level: 050, state:20> county:023",60000
"Comanche County, Kansas: Summary level: 050, state:20> county:033",62143
"Cowley County, Kansas: Summary level: 050, state:20> county:035",56644
"Elk County, Kansas: Summary level: 050, state:20> county:049",52243
"Gove County, Kansas: Summary level: 050, state:20> county:063",59833
"Franklin County, Kansas: Summary level: 050, state:20> county:059",65974
"Harvey County, Kansas: Summary level: 050, state:20> county:079",68002
"Hodgeman County, Kansas: Summary level: 050, state:20> county:083",68500
"Jewell County, Kansas: Summary level: 050, state:20> county:089",53060
"Kearny County, Kansas: Summary level: 050, state:20> county:093",65313
"Rice County, Kansas: Summary level: 050, state:20> county:159",61737
"Stafford County, Kansas: Summary level: 050, state:20> county:185",60917
"McPherson County, Kansas: Summary level: 050, state:20> county:113",68684
"Osage County, Kansas: Summary level: 050, state:20> county:139",65612
"Greeley County, Kansas: Summary level: 050, state:20> county:071",56458
"Coffey County, Kansas: Summary level: 050, state:20> county:031",72409
"Crawford County, Kansas: Summary level: 050, state:20> county:037",57545
"Ellis County, Kansas: Summary level: 050, state:20> county:051",73107
"Greenwood County, Kansas: Summary level: 050, state:20> county:073",52451
"Labette County, Kansas: Summary level: 050, state:20> county:099",55629
"Linn County, Kansas: Summary level: 050, state:20> county:107",58116
"Sedgwick County, Kansas: Summary level: 050, state:20> county:173",67029
"Seward County, Kansas: Summary level: 050, state:20> county:175",49830
"Republic County, Kansas: Summary level: 050, state:20> county:157",61159
"Graham County, Kansas: Summary level: 050, state:20> county:065",58177
"Johnson County, Kansas: Summary level: 050, state:20> county:091",101844
"Douglas County, Kansas: Summary level: 050, state:20> county:045",80752
"Sheridan County, Kansas: Summary level: 050, state:20> county:179",71563
"Miami County, Kansas: Summary level: 050, state:20> county:121",80057
"Gray County, Kansas: Summary level: 050, state:20> county:069",67969
"Wallace County, Kansas: Summary level: 050, state:20> county:199",82692
"Chase County, Kansas: Summary level: 050, state:20> county:017",61375
"Stevens County, Kansas: Summary level: 050, state:20> county:189",65519
"Washington County, Kansas: Summary level: 050, state:20> county:201",59153
"Wichita County, Kansas: Summary level: 050, state:20> county:203",61845
"Chautauqua County, Kansas: Summary level: 050, state:20> county:019",53581
"Morton County, Kansas: Summary level: 050, state:20> county:129",57292
"Norton County, Kansas: Summary level: 050, state:20> county:137",63505
"Reno County, Kansas: Summary level: 050, state:20> county:155",58915
"Barton County, Kansas: Summary level: 050, state:20> county:009",62281
"Cloud County, Kansas: Summary level: 050, state:20> county:029",54579
"Doniphan County, Kansas: Summary level: 050, state:20> county:043",64342
"Edwards County, Kansas: Summary level: 050, state:20> county:047",57500
"Haskell County, Kansas: Summary level: 050, state:20> county:081",59458
"Lane County, Kansas: Summary level: 050, state:20> county:101",68250
"Rush County, Kansas: Summary level: 050, state:20> county:165",64500
"Scott County, Kansas: Summary level: 050, state:20> county:171",73864
"Marion County, Kansas: Summary level: 050, state:20> county:115",62578
"Neosho County, Kansas: Summary level: 050, state:20> county:133",56117
"Brown County, Kansas: Summary level: 050, state:20> county:013",54503
"Ottawa County, Kansas: Summary level: 050, state:20> county:143",66977
"Phillips County, Kansas: Summary level: 050, state:20> county:147",60827
"Riley County, Kansas: Summary level: 050, state:20> county:161",66149
"Barber County, Kansas: Summary level: 050, state:20> county:007",69583
"Decatur County, Kansas: Summary level: 050, state:20> county:039",57014
"Dickinson County, Kansas: Summary level: 050, state:20> county:041",61090
"Jefferson County, Kansas: Summary level: 050, state:20> county:087",72686
"Harrison County, Kentucky: Summary level: 050, state:21> county:097",58183
"Butler County, Kentucky: Summary level: 050, state:21> county:031",51453
"Trimble County, Kentucky: Summary level: 050, state:21> county:223",57829
"Edmonson County, Kentucky: Summary level: 050, state:21> county:061",49402
"Hickman County, Kentucky: Summary level: 050, state:21> county:105",48892
"Bracken County, Kentucky: Summary level: 050, state:21> county:023",57551
"Lyon County, Kentucky: Summary level: 050, state:21> county:143",61094
"Nelson County, Kentucky: Summary level: 050, state:21> county:179",67030
"Wayne County, Kentucky: Summary level: 050, state:21> county:231",42399
"Lewis County, Kentucky: Summary level: 050, state:21> county:135",45348
"Marion County, Kentucky: Summary level: 050, state:21> county:155",53474
"Trigg County, Kentucky: Summary level: 050, state:21> county:221",62847
"Woodford County, Kentucky: Summary level: 050, state:21> county:239",71898
"Boone County, Kentucky: Summary level: 050, state:21> county:015",85821
"Leslie County, Kentucky: Summary level: 050, state:21> county:131",37331
"Jessamine County, Kentucky: Summary level: 050, state:21> county:113",63313
"Knox County, Kentucky: Summary level: 050, state:21> county:121",32795
"Lawrence County, Kentucky: Summary level: 050, state:21> county:127",41633
"Letcher County, Kentucky: Summary level: 050, state:21> county:133",37542
"Livingston County, Kentucky: Summary level: 050, state:21> county:139",55104
"McCracken County, Kentucky: Summary level: 050, state:21> county:145",61121
"Pike County, Kentucky: Summary level: 050, state:21> county:195",41104
"Shelby County, Kentucky: Summary level: 050, state:21> county:211",74261
"Whitley County, Kentucky: Summary level: 050, state:21> county:235",43904
"Anderson County, Kentucky: Summary level: 050, state:21> county:005",65605
"Breckinridge County, Kentucky: Summary level: 050, state:21> county:027",58692
"Floyd County, Kentucky: Summary level: 050, state:21> county:071",37897
"Franklin County, Kentucky: Summary level: 050, state:21> county:073",66952
"Kenton County, Kentucky: Summary level: 050, state:21> county:117",73318
"McCreary County, Kentucky: Summary level: 050, state:21> county:147",25401
"Madison County, Kentucky: Summary level: 050, state:21> county:151",62559
"Magoffin County, Kentucky: Summary level: 050, state:21> county:153",38239
"Metcalfe County, Kentucky: Summary level: 050, state:21> county:169",42323
"Owsley County, Kentucky: Summary level: 050, state:21> county:189",38867
"Rowan County, Kentucky: Summary level: 050, state:21> county:205",51043
"Simpson County, Kentucky: Summary level: 050, state:21> county:213",55820
"Taylor County, Kentucky: Summary level: 050, state:21> county:217",45787
"Clark County, Kentucky: Summary level: 050, state:21> county:049",65000
"Todd County, Kentucky: Summary level: 050, state:21> county:219",48080
"Carlisle County, Kentucky: Summary level: 050, state:21> county:039",51994
"Carroll County, Kentucky: Summary level: 050, state:21> county:041",48410
"Clinton County, Kentucky: Summary level: 050, state:21> county:053",37261
"Estill County, Kentucky: Summary level: 050, state:21> county:065",39844
"Gallatin County, Kentucky: Summary level: 050, state:21> county:077",53415
"Garrard County, Kentucky: Summary level: 050, state:21> county:079",59262
"Greenup County, Kentucky: Summary level: 050, state:21> county:089",56809
"Fleming County, Kentucky: Summary level: 050, state:21> county:069",50449
"Campbell County, Kentucky: Summary level: 050, state:21> county:037",77154
"Carter County, Kentucky: Summary level: 050, state:21> county:043",42798
"Elliott County, Kentucky: Summary level: 050, state:21> county:063",32826
"Grant County, Kentucky: Summary level: 050, state:21> county:081",49805
"Jefferson County, Kentucky: Summary level: 050, state:21> county:111",68608
"Larue County, Kentucky: Summary level: 050, state:21> county:123",49393
"Logan County, Kentucky: Summary level: 050, state:21> county:141",54266
"Mason County, Kentucky: Summary level: 050, state:21> county:161",57585
"Mercer County, Kentucky: Summary level: 050, state:21> county:167",62149
"Pendleton County, Kentucky: Summary level: 050, state:21> county:191",59809
"Robertson County, Kentucky: Summary level: 050, state:21> county:201",50486
"Russell County, Kentucky: Summary level: 050, state:21> county:207",43333
"Spencer County, Kentucky: Summary level: 050, state:21> county:215",75463
"Washington County, Kentucky: Summary level: 050, state:21> county:229",57930
"Bath County, Kentucky: Summary level: 050, state:21> county:011",42390
"Ballard County, Kentucky: Summary level: 050, state:21> county:007",54776
"Barren County, Kentucky: Summary level: 050, state:21> county:009",47197
"Boyle County, Kentucky: Summary level: 050, state:21> county:021",55167
"Green County, Kentucky: Summary level: 050, state:21> county:087",48768
"Hancock County, Kentucky: Summary level: 050, state:21> county:091",56799
"Harlan County, Kentucky: Summary level: 050, state:21> county:095",32414
"Martin County, Kentucky: Summary level: 050, state:21> county:159",40551
"Hardin County, Kentucky: Summary level: 050, state:21> county:093",64993
"Lincoln County, Kentucky: Summary level: 050, state:21> county:137",46332
"McLean County, Kentucky: Summary level: 050, state:21> county:149",55139
"Monroe County, Kentucky: Summary level: 050, state:21> county:171",49074
"Ohio County, Kentucky: Summary level: 050, state:21> county:183",47688
"Powell County, Kentucky: Summary level: 050, state:21> county:197",49564
"Union County, Kentucky: Summary level: 050, state:21> county:225",52986
"Webster County, Kentucky: Summary level: 050, state:21> county:233",49579
"Caldwell County, Kentucky: Summary level: 050, state:21> county:033",54840
"Calloway County, Kentucky: Summary level: 050, state:21> county:035",56556
"Casey County, Kentucky: Summary level: 050, state:21> county:045",42740
"Christian County, Kentucky: Summary level: 050, state:21> county:047",48734
"Daviess County, Kentucky: Summary level: 050, state:21> county:059",62027
"Grayson County, Kentucky: Summary level: 050, state:21> county:085",43815
"Henderson County, Kentucky: Summary level: 050, state:21> county:101",56053
"Henry County, Kentucky: Summary level: 050, state:21> county:103",57898
"Hopkins County, Kentucky: Summary level: 050, state:21> county:107",56627
"Jackson County, Kentucky: Summary level: 050, state:21> county:109",38369
"Laurel County, Kentucky: Summary level: 050, state:21> county:125",45838
"Marshall County, Kentucky: Summary level: 050, state:21> county:157",63159
"Meade County, Kentucky: Summary level: 050, state:21> county:163",62452
"Montgomery County, Kentucky: Summary level: 050, state:21> county:173",53083
"Nicholas County, Kentucky: Summary level: 050, state:21> county:181",51359
"Oldham County, Kentucky: Summary level: 050, state:21> county:185",104321
"Owen County, Kentucky: Summary level: 050, state:21> county:187",51524
"Rockcastle County, Kentucky: Summary level: 050, state:21> county:203",47950
"Scott County, Kentucky: Summary level: 050, state:21> county:209",77141
"Warren County, Kentucky: Summary level: 050, state:21> county:227",60869
"Allen County, Kentucky: Summary level: 050, state:21> county:003",51341
"Bourbon County, Kentucky: Summary level: 050, state:21> county:017",59520
"Boyd County, Kentucky: Summary level: 050, state:21> county:019",58594
"Bullitt County, Kentucky: Summary level: 050, state:21> county:029",69299
"Crittenden County, Kentucky: Summary level: 050, state:21> county:055",55497
"Fayette County, Kentucky: Summary level: 050, state:21> county:067",71698
"Fulton County, Kentucky: Summary level: 050, state:21> county:075",40611
"Johnson County, Kentucky: Summary level: 050, state:21> county:115",46920
"Knott County, Kentucky: Summary level: 050, state:21> county:119",38472
"Menifee County, Kentucky: Summary level: 050, state:21> county:165",46962
"Morgan County, Kentucky: Summary level: 050, state:21> county:175",41341
"Muhlenberg County, Kentucky: Summary level: 050, state:21> county:177",52140
"Perry County, Kentucky: Summary level: 050, state:21> county:193",43024
"Pulaski County, Kentucky: Summary level: 050, state:21> county:199",47785
"Wolfe County, Kentucky: Summary level: 050, state:21> county:237",33125
"Clay County, Kentucky: Summary level: 050, state:21> county:051",31990
"Adair County, Kentucky: Summary level: 050, state:21> county:001",44873
"Bell County, Kentucky: Summary level: 050, state:21> county:013",31128
"Breathitt County, Kentucky: Summary level: 050, state:21> county:025",31748
"Cumberland County, Kentucky: Summary level: 050, state:21> county:057",43041
"Graves County, Kentucky: Summary level: 050, state:21> county:083",52914
"Hart County, Kentucky: Summary level: 050, state:21> county:099",45460
"Lee County, Kentucky: Summary level: 050, state:21> county:129",35062
"Hancock County, Maine: Summary level: 050, state:23> county:009",66242
"Oxford County, Maine: Summary level: 050, state:23> county:017",54970
"Lincoln County, Maine: Summary level: 050, state:23> county:015",69352
"Waldo County, Maine: Summary level: 050, state:23> county:027",61640
"Penobscot County, Maine: Summary level: 050, state:23> county:019",61325
"Piscataquis County, Maine: Summary level: 050, state:23> county:021",49721
"Androscoggin County, Maine: Summary level: 050, state:23> county:001",63360
"Aroostook County, Maine: Summary level: 050, state:23> county:003",52023
"Washington County, Maine: Summary level: 050, state:23> county:029",50663
"Cumberland County, Maine: Summary level: 050, state:23> county:005",85525
"Knox County, Maine: Summary level: 050, state:23> county:013",64176
"Sagadahoc County, Maine: Summary level: 050, state:23> county:023",73913
"York County, Maine: Summary level: 050, state:23> county:031",74865
"Kennebec County, Maine: Summary level: 050, state:23> county:011",65348
"Franklin County, Maine: Summary level: 050, state:23> county:007",57183
"Somerset County, Maine: Summary level: 050, state:23> county:025",54148
"Vermilion Parish, Louisiana: Summary level: 050, state:22> county:113",59144
"St. Charles Parish, Louisiana: Summary level: 050, state:22> county:089",77261
"Lafourche Parish, Louisiana: Summary level: 050, state:22> county:057",63373
"Concordia Parish, Louisiana: Summary level: 050, state:22> county:029",41889
"Tensas Parish, Louisiana: Summary level: 050, state:22> county:107",32072
"West Feliciana Parish, Louisiana: Summary level: 050, state:22> county:125",83917
"Jefferson Davis Parish, Louisiana: Summary level: 050, state:22> county:053",54059
"St. James Parish, Louisiana: Summary level: 050, state:22> county:093",63345
"Grant Parish, Louisiana: Summary level: 050, state:22> county:043",50789
"Jefferson Parish, Louisiana: Summary level: 050, state:22> county:051",64058
"Beauregard Parish, Louisiana: Summary level: 050, state:22> county:011",61910
"Bienville Parish, Louisiana: Summary level: 050, state:22> county:013",44940
"Bossier Parish, Louisiana: Summary level: 050, state:22> county:015",66275
"Cameron Parish, Louisiana: Summary level: 050, state:22> county:023",74063
"East Feliciana Parish, Louisiana: Summary level: 050, state:22> county:037",53985
"St. John the Baptist Parish, Louisiana: Summary level: 050, state:22> county:095",59670
"Plaquemines Parish, Louisiana: Summary level: 050, state:22> county:075",62736
"Ouachita Parish, Louisiana: Summary level: 050, state:22> county:073",51821
"Rapides Parish, Louisiana: Summary level: 050, state:22> county:079",53734
"Washington Parish, Louisiana: Summary level: 050, state:22> county:117",43785
"St. Landry Parish, Louisiana: Summary level: 050, state:22> county:097",42632
"Tangipahoa Parish, Louisiana: Summary level: 050, state:22> county:105",57472
"Acadia Parish, Louisiana: Summary level: 050, state:22> county:001",52085
"St. Mary Parish, Louisiana: Summary level: 050, state:22> county:101",51043
"West Carroll Parish, Louisiana: Summary level: 050, state:22> county:123",49567
"St. Tammany Parish, Louisiana: Summary level: 050, state:22> county:103",79154
"Union Parish, Louisiana: Summary level: 050, state:22> county:111",54217
"Caldwell Parish, Louisiana: Summary level: 050, state:22> county:021",46163
"Caddo Parish, Louisiana: Summary level: 050, state:22> county:017",53523
"East Carroll Parish, Louisiana: Summary level: 050, state:22> county:035",27949
"Ascension Parish, Louisiana: Summary level: 050, state:22> county:005",86570
"Lafayette Parish, Louisiana: Summary level: 050, state:22> county:055",71320
"Evangeline Parish, Louisiana: Summary level: 050, state:22> county:039",41445
"Iberia Parish, Louisiana: Summary level: 050, state:22> county:045",51852
"Lincoln Parish, Louisiana: Summary level: 050, state:22> county:061",54653
"St. Bernard Parish, Louisiana: Summary level: 050, state:22> county:087",51364
"St. Helena Parish, Louisiana: Summary level: 050, state:22> county:091",43150
"Webster Parish, Louisiana: Summary level: 050, state:22> county:119",41420
"West Baton Rouge Parish, Louisiana: Summary level: 050, state:22> county:121",73782
"De Soto Parish, Louisiana: Summary level: 050, state:22> county:031",52701
"Iberville Parish, Louisiana: Summary level: 050, state:22> county:047",55855
"Red River Parish, Louisiana: Summary level: 050, state:22> county:081",50298
