Location,median_income
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",69647
"Gila County, Arizona: Summary level: 050, state:04> county:007",48806
"Graham County, Arizona: Summary level: 050, state:04> county:009",58732
"Santa Cruz County, Arizona: Summary level: 050, state:04> county:023",44076
"Cochise County, Arizona: Summary level: 050, state:04> county:003",57593
"La Paz County, Arizona: Summary level: 050, state:04> county:012",44536
"Mohave County, Arizona: Summary level: 050, state:04> county:015",50148
"Apache County, Arizona: Summary level: 050, state:04> county:001",40231
"Coconino County, Arizona: Summary level: 050, state:04> county:005",67964
"Yavapai County, Arizona: Summary level: 050, state:04> county:025",58446
"Yuma County, Arizona: Summary level: 050, state:04> county:027",47370
"Greenlee County, Arizona: Summary level: 050, state:04> county:011",60857
"Navajo County, Arizona: Summary level: 050, state:04> county:017",46034
"Pinal County, Arizona: Summary level: 050, state:04> county:021",60281
"White County, Arkansas: Summary level: 050, state:05> county:145",55203
"Nevada County, Arkansas: Summary level: 050, state:05> county:099",47514
"St. Francis County, Arkansas: Summary level: 050, state:05> county:123",40669
"Pulaski County, Arkansas: Summary level: 050, state:05> county:119",63863
"Clay County, Arkansas: Summary level: 050, state:05> county:021",43235
"Cross County, Arkansas: Summary level: 050, state:05> county:037",51027
"Dallas County, Arkansas: Summary level: 050, state:05> county:039",45817
"Drew County, Arkansas: Summary level: 050, state:05> county:043",50711
"Columbia County, Arkansas: Summary level: 050, state:05> county:027",49198
"Randolph County, Arkansas: Summary level: 050, state:05> county:121",45575
"Saline County, Arkansas: Summary level: 050, state:05> county:125",71046
"Van Buren County, Arkansas: Summary level: 050, state:05> county:141",43648
"Boone County, Arkansas: Summary level: 050, state:05> county:009",46987
"Izard County, Arkansas: Summary level: 050, state:05> county:065",49000
"Independence County, Arkansas: Summary level: 050, state:05> county:063",51585
"Lincoln County, Arkansas: Summary level: 050, state:05> county:079",47174
"Logan County, Arkansas: Summary level: 050, state:05> county:083",46076
"Grant County, Arkansas: Summary level: 050, state:05> county:053",60969
"Crittenden County, Arkansas: Summary level: 050, state:05> county:035",50384
"Franklin County, Arkansas: Summary level: 050, state:05> county:047",46227
"Faulkner County, Arkansas: Summary level: 050, state:05> county:045",65781
"Pike County, Arkansas: Summary level: 050, state:05> county:109",48816
"Jefferson County, Arkansas: Summary level: 050, state:05> county:069",48817
"Marion County, Arkansas: Summary level: 050, state:05> county:089",43654
"Montgomery County, Arkansas: Summary level: 050, state:05> county:097",46037
"Scott County, Arkansas: Summary level: 050, state:05> county:127",42790
"Searcy County, Arkansas: Summary level: 050, state:05> county:129",44179
"Sebastian County, Arkansas: Summary level: 050, state:05> county:131",51888
